Ref,LocationId,Location,SalesDate,Category,ProductCode,SalesAmount
3b7b1960c8a8a12b5b47f156f491138c,1,Denver,2020-08-31,Footwear_Boots,Hike-Lite,89.99
3b7b1960c8a8a12b5b47f156f491138c,1,Denver,2020-08-31,Footwear_Boots,Hike-Lite,89.99
7a0541d195b119a8185a8491b3a0e38e,1,Denver,2020-08-31,Backpacks,HS-50L,99.99
7d2e08332035f44b8f4431a57ea2c84e,1,Denver,2020-08-31,Footwear_Boots,Hike-Lite,89.99
8b29f390afb4684e9c0ac8bf763a4253,1,Denver,2020-08-31,Footwear_Boots,Walk-AT1x,240.5
a05be448e85a04da3ad78be1ace4a114,1,Denver,2020-08-31,Footwear_Boots,Hike-Lite,89.99
1788db034d6d31a95e2c4c9e61467c45,1,Denver,2020-08-31,Footwear_Boots,Hike-Lite,89.99
df9a6d12f92653ea36098abf6cd4d54f,1,Denver,2020-08-31,Footwear_Boots,Walk-AT1,240.5
20b7ef155ff628663fa5c261a249ae12,1,Denver,2020-08-31,Backpacks,HSX-75L,190.99
590c1f70a4653c27a9e4077e9fcb9fdd,1,Denver,2020-08-31,Hiking,GLV-01-SML,30
6a400ef749c45e98010594063123f422,1,Denver,2020-08-31,Backpacks,HSX-75L,190.99
dad49fbf98f58b40ad4372271dfbd3e5,1,Denver,2020-08-31,Footwear_Boots,Hike-Lite,89.99
caa796ea505d7e1d7b1800e79d0e38de,1,Denver,2020-08-31,Footwear_Boots,Hike-Pro-x3,240.5
6563358d73472bc2a5d99f7b0bb122ac,1,Denver,2020-08-31,Footwear_Boots,Walk-AT1x,240.5
a245f63e821e4420b777fea427434f29,1,Denver,2020-08-31,Footwear_Boots,Walk-AT1,240.5
4943ec7f5b1c31082d40bb4ccfaf75fe,1,Denver,2020-08-31,ClimbingGear,CAM-22-S02,120.99
9898d60150ce3353855a54e9c29b00e4,1,Denver,2020-08-31,Hiking,GPS-X2,345
388e0eb4376df7ff105eff774bb28918,1,Denver,2020-08-31,Footwear_Casual,TRN-NB-32S,149.99
4de41b7c1a134b390969b6ef47098d00,1,Denver,2020-08-31,Footwear_Boots,Hike-Pro-x2,149.99
61da598deee25d9664b070b7e58410e3,1,Denver,2020-08-31,Backpacks,HS-50L,99.99
ab34f8f407eb7f040c8ce93ba7563020,1,Denver,2020-08-31,Backpacks,HS-75L,120.99
13fbd3e31f276d7e705b3e14c2dd384e,1,Denver,2020-08-31,Footwear_Boots,Hike-Pro-x3,240.5
1350ac9b5665ccb85d37b2022c92e292,1,Denver,2020-08-31,Footwear_Boots,Walk-AT1x,240.5
f0efbb3a08f679a0b84e37f2afa6f274,1,Denver,2020-08-31,Footwear_Casual,TRN-NB-12S,129.99
c3a613b241ccac4afebe2408a14baff4,1,Denver,2020-08-31,Backpacks,HS-75L,120.99
3a8a4abc3c0a7b3d358263316f749cf7,1,Denver,2020-08-31,Backpacks,HSX-100L,225.5
